CCSR_Code,CCSR_label,proc_cd
EXT012,109,T63013A
EXT012,109,T63014A
EXT012,109,T63022A
EXT012,109,T63023A
EXT012,109,T63024A
EXT012,109,T63032A
EXT012,109,T63033A
EXT012,109,T63034A
EXT012,109,T63042A
EXT012,109,T63043A
EXT012,109,T63044A
EXT012,109,T63062A
EXT012,109,T63063A
EXT012,109,T63064A
EXT012,109,T63072A
EXT012,109,T63073A
EXT012,109,T63074A
EXT012,109,T63082A
EXT012,109,T63083A
EXT012,109,T63084A
EXT012,109,T63092A
EXT012,109,T63093A
EXT012,109,T63094A
EXT012,109,T63112A
EXT012,109,T63113A
EXT012,109,T63114A
EXT012,109,T63122A
EXT012,109,T63123A
EXT012,109,T63124A
EXT012,109,T63192A
EXT012,109,T63193A
EXT012,109,T63194A
EXT012,109,T632X2A
EXT012,109,T632X3A
EXT012,109,T632X4A
EXT012,109,T63302A
EXT012,109,T63303A
EXT012,109,T63304A
EXT012,109,T63312A
EXT012,109,T63313A
EXT012,109,T63314A
EXT012,109,T63322A
EXT012,109,T63323A
EXT012,109,T63324A
EXT012,109,T63332A
EXT012,109,T63333A
EXT012,109,T63334A
EXT012,109,T63392A
EXT012,109,T63393A
EXT012,109,T63394A
EXT012,109,T63412A
EXT012,109,T63413A
EXT012,109,T63414A
EXT012,109,T63421A
EXT012,109,T63422A
EXT012,109,T63423A
EXT012,109,T63424A
EXT012,109,T63431A
EXT012,109,T63432A
EXT012,109,T63433A
EXT012,109,T63434A
EXT012,109,T63441A
EXT012,109,T63442A
EXT012,109,T63443A
EXT012,109,T63444A
EXT012,109,T63451A
EXT012,109,T63452A
EXT012,109,T63453A
EXT012,109,T63454A
EXT012,109,T63461A
EXT012,109,T63462A
EXT012,109,T63463A
EXT012,109,T63464A
EXT012,109,T63481A
EXT012,109,T63482A
EXT012,109,T63483A
EXT012,109,T63484A
EXT012,109,T63511A
EXT012,109,T63512A
EXT012,109,T63513A
EXT012,109,T63514A
EXT012,109,T63591A
EXT012,109,T63592A
EXT012,109,T63593A
EXT012,109,T63594A
EXT012,109,T63611A
EXT012,109,T63612A
EXT012,109,T63613A
EXT012,109,T63614A
EXT012,109,T63621A
EXT012,109,T63622A
EXT012,109,T63623A
EXT012,109,T63624A
EXT012,109,T63631A
EXT012,109,T63632A
EXT012,109,T63633A
EXT012,109,T63634A
EXT012,109,T63691A
EXT012,109,T63692A
EXT012,109,T63693A
EXT012,109,T63694A
EXT012,109,T63811A
EXT012,109,T63812A
EXT012,109,T63813A
EXT012,109,T63814A
EXT012,109,T63821A
EXT012,109,T63822A
EXT012,109,T63823A
EXT012,109,T63824A
EXT012,109,T63831A
EXT012,109,T63832A
EXT012,109,T63833A
EXT012,109,T63834A
EXT012,109,T63891A
EXT012,109,T63892A
EXT012,109,T63893A
EXT012,109,T63894A
EXT012,109,T6391XA
EXT012,109,T6392XA
EXT012,109,T6393XA
EXT012,109,T6394XA
EXT012,109,W5301XA
EXT012,109,W5311XA
EXT012,109,W5321XA
EXT012,109,W5381XA
EXT012,109,W540XXA
EXT012,109,W5501XA
EXT012,109,W5511XA
EXT012,109,W5521XA
EXT012,109,W5531XA
EXT012,109,W5541XA
EXT012,109,W5551XA
EXT012,109,W5581XA
EXT012,109,W5601XA
EXT012,109,W5611XA
EXT012,109,W5621XA
EXT012,109,W5631XA
EXT012,109,W5641XA
EXT012,109,W5651XA
EXT012,109,W5681XA
EXT012,109,W57XXXA
EXT012,109,W5801XA
EXT012,109,W5811XA
EXT012,109,W5901XA
EXT012,109,W5911XA
EXT012,109,W5921XA
EXT012,109,W5981XA
